Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations,Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4
5157,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5156,,0,South Africa,0,#N/A,#N/A,,FloodList,04-Feb-22,10-Feb-22,7,0,36,,Heavy Rain,1.5,186661.29,6.3,28.9725,-26.2293,FloodList,1,109,1,295,04-Feb-22,1458,4611
5155,,0,Madagascar,0,#N/A,#N/A,,FloodList,05-Feb-22,17-Feb-22,13,121,69000,,Tropical Storm Batsirai,2,203449.42,6.7,46.8868,-19.7917,FloodList,1,108,1,294,05-Feb-22,1457,4610
5154,,0,Indonesia,0,#N/A,#N/A,,FloodList,11-Feb-22,17-Feb-22,7,0,0,,Heavy Rain,1,80943.42,5.8,110.973,-0.931624,FloodList,0,107,1,293,11-Feb-22,1456,4609
5153,,0,Honduras,0,#N/A,#N/A,,FloodList,14-Feb-22,17-Feb-22,4,0,1640,,Heavy Rain,1,30354.86,5.1,-86.4311,15.0105,FloodList,0,107,1,292,14-Feb-22,1456,4608
5152,,0,Brazil,0,#N/A,#N/A,,FloodList,15-Feb-22,17-Feb-22,3,94,0,,Torrential Rain,2,55199.9,5.5,-43.4764,-21.6803,FloodList,0,107,1,291,15-Feb-22,1456,4607
5151,,0,Brazil,0,#N/A,#N/A,,FloodList,11-Jan-22,19-Jan-22,9,15,10000,,Heavy Rain,1.5,277965.04,6.6,-43.5754,-20.9367,FloodList,1,107,1,290,11-Jan-22,1456,4606
5150,,0,Uruguay,0,#N/A,#N/A,,FloodList,17-Jan-22,19-Jan-22,3,0,164,,Torrential Rain,1.5,25370.54,5.1,-56.2193,-34.2198,FloodList,0,106,1,289,17-Jan-22,1455,4605
5149,,0,Malawi,0,#N/A,#N/A,,FloodList,03-Jan-22,07-Jan-22,5,0,32,,Torrential Rain,1,15542.46,4.9,35.2079,-14.9019,FloodList,0,106,1,288,03-Jan-22,1455,4604
5148,,0,South Africa,0,#N/A,#N/A,,FloodLIst,07-Jan-22,10-Jan-22,4,8,0,,Torrential Rain,1.5,90705.2,5.7,27.2405,-32.3279,FloodLIst,0,106,1,287,07-Jan-22,1455,4603
5147,,0,Madagascar,0,#N/A,#N/A,,FloodList,17-Jan-22,19-Jan-22,3,10,500,,Heavy Rain,1.5,63898.25,5.5,47.6786,-18.6028,FloodList,0,106,1,286,17-Jan-22,1455,4602
5146,,0,South Africa,0,#N/A,#N/A,,FloodList,15-Jan-22,19-Jan-22,5,1,100,,Heavy Rain,1.5,87947.91,5.8,31.051,-28.0651,FloodList,0,106,1,285,15-Jan-22,1455,4601
5145,,0,Brazil,0,#N/A,#N/A,,FloodList,09-Dec-21,19-Dec-21,11,10,21570,,Heavy Rain,1.5,428674.84,6.8,-39.7154,-12.9556,FloodList,1,106,1,284,09-Dec-21,1455,4600
5144,,0,Republic of Congo,0,#N/A,#N/A,,FloodLIst,01-Dec-21,19-Dec-21,19,15,6552,,Heavy Rain,1.5,180551.97,6.7,15.7843,0.38008,FloodLIst,1,105,1,283,01-Dec-21,1454,4599
5143,,0,Iraq,0,#N/A,#N/A,,FloodList,16-Dec-21,19-Dec-21,4,8,0,,Torrential Rain,1.5,9809.05,4.8,44.2022,36.7627,FloodList,0,104,1,282,16-Dec-21,1453,4598
5142,,0,Philippines,0,#N/A,#N/A,,FloodList,16-Dec-21,19-Dec-21,4,95,488000,,Tropical Storm Rai,2,43472.01,5.5,125.355,11.3215,FloodList,0,104,1,281,16-Dec-21,1453,4597
